experiment_id,sbi_method,nb_round,nb_simulations,c2st
exp_fmpe_500,fmpe,,500,0.77595
exp_snpe_1_1000,snpe,1,1000,0.62715
exp_fmpe_1500,fmpe,,1500,0.72815
exp_fmpe_1000,fmpe,,1000,0.74515
exp_fmpe_2000,fmpe,,2000,0.71785
exp_fmpe_2000,fmpe,,2000,0.73615
exp_snpe_1_100,snpe,1,100,0.841
exp_fmpe_1500,fmpe,,1500,0.73235
exp_fmpe_2000,fmpe,,2000,0.7058
exp_snpe_1_500,snpe,1,500,0.70555
exp_snpe_1_1500,snpe,1,1500,0.6513
exp_snpe_1_100,snpe,1,100,0.85825
exp_snpe_1_1000,snpe,1,1000,0.73355
exp_snpe_1_2000,snpe,1,2000,0.6012
exp_snpe_1_500,snpe,1,500,0.7039
exp_snpe_1_1000,snpe,1,1000,0.611
exp_snpe_1_1500,snpe,1,1500,0.6633
exp_snpe_1_2000,snpe,1,2000,0.6023
exp_snpe_1_1500,snpe,1,1500,0.6208
exp_snpe_1_2000,snpe,1,2000,0.6036
exp_snre_1_100,snre,1,100,0.97515
exp_snre_1_100,snre,1,100,0.97645
exp_snre_1_500,snre,1,500,0.873
exp_snre_1_1000,snre,1,1000,0.8364
exp_snre_1_100,snre,1,100,0.9675
exp_snre_1_500,snre,1,500,0.89265
exp_snre_1_1000,snre,1,1000,0.86045
exp_snre_1_1500,snre,1,1500,0.80965
exp_snre_1_1500,snre,1,1500,0.79715
exp_snre_1_500,snre,1,500,0.93155
exp_snre_1_2000,snre,1,2000,0.80315
exp_snre_1_1000,snre,1,1000,0.8166
exp_snre_1_2000,snre,1,2000,0.81695
exp_snre_1_1500,snre,1,1500,0.8752
exp_snre_1_2000,snre,1,2000,0.8447
exp_snle_1_100,snle,1,100,0.9422
exp_snle_1_500,snle,1,500,0.7191
exp_snle_1_1000,snle,1,1000,0.6473
exp_snle_1_100,snle,1,100,0.88915
exp_snle_1_1500,snle,1,1500,0.62225
exp_snle_1_2000,snle,1,2000,0.6093
exp_snle_1_500,snle,1,500,0.70415
exp_snle_1_100,snle,1,100,0.9919
exp_snle_1_500,snle,1,500,0.6831
exp_snle_1_1500,snle,1,1500,0.61815
exp_snle_1_2000,snle,1,2000,0.61625
exp_snle_1_1000,snle,1,1000,0.64395
exp_snle_1_1500,snle,1,1500,0.63275
exp_snle_5_100,snle,5,100,0.8633
