experiment_id,sbi_method,total_steps,activ_fun,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,seed,nf type,batch size,score type,score noise,c2st
exp_nle_70000_600_3_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,600,1e-05,4,2,3,affine,128,unmarginal,0.0,0.6405
exp_nle_70000_400_4_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,400,1e-05,4,2,4,affine,128,unmarginal,0.0,0.66
exp_nle_70000_400_4_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,400,1e-05,4,2,4,affine,128,marginal,0.0,0.63035
exp_nle_70000_600_2_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,600,1e-05,4,2,2,affine,128,unmarginal,0.0,0.6169
exp_nle_70000_400_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,400,1e-05,4,2,2,affine,128,marginal,0.0,0.58025
exp_nle_70000_800_1_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,800,1e-05,4,2,1,affine,128,unmarginal,0.0,0.63455
exp_nle_70000_200_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,200,1e-05,4,2,2,affine,128,marginal,0.0,0.6849
exp_nle_70000_300_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,300,1e-05,4,2,2,affine,128,marginal,0.0,0.59415
exp_nle_70000_2000_2_4_2_silu_affine_128_0.0_unmarginal_0.0,nle,70000,silu,2000,0.0,4,2,2,affine,128,unmarginal,0.0,0.59945
exp_nle_70000_800_2_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,800,1e-05,4,2,2,affine,128,unmarginal,0.0,0.61795
exp_nle_70000_2000_3_4_2_silu_affine_128_0.0_unmarginal_0.0,nle,70000,silu,2000,0.0,4,2,3,affine,128,unmarginal,0.0,0.579
exp_nle_70000_600_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,600,1e-05,4,2,2,affine,128,marginal,0.0,0.60265
exp_nle_70000_400_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,400,1e-05,4,2,3,affine,128,marginal,0.0,0.59385
exp_nle_70000_2000_4_4_2_silu_affine_128_0.0_unmarginal_0.0,nle,70000,silu,2000,0.0,4,2,4,affine,128,unmarginal,0.0,0.58105
exp_nle_70000_600_4_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,600,1e-05,4,2,4,affine,128,unmarginal,0.0,0.6042
exp_nle_70000_400_1_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,400,1e-05,4,2,1,affine,128,marginal,0.0,0.6225
exp_nle_70000_600_4_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,600,1e-05,4,2,4,affine,128,marginal,0.0,0.58595
exp_nle_70000_800_3_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,800,1e-05,4,2,3,affine,128,unmarginal,0.0,0.5774
exp_nle_70000_1000_2_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1000,1e-05,4,2,2,affine,128,unmarginal,0.0,0.6149
exp_nle_70000_600_1_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,600,1e-05,4,2,1,affine,128,marginal,0.0,0.60965
exp_nle_70000_800_1_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,800,1e-05,4,2,1,affine,128,marginal,0.0,0.6045
exp_nle_70000_800_4_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,800,1e-05,4,2,4,affine,128,marginal,0.0,0.57905
exp_nle_70000_1000_3_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1000,1e-05,4,2,3,affine,128,unmarginal,0.0,0.59
exp_nle_70000_800_4_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,800,1e-05,4,2,4,affine,128,unmarginal,0.0,0.59805
exp_nle_70000_600_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,600,1e-05,4,2,3,affine,128,marginal,0.0,0.59045
exp_nle_70000_1000_1_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1000,1e-05,4,2,1,affine,128,unmarginal,0.0,0.6202
exp_nle_70000_800_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,800,1e-05,4,2,2,affine,128,marginal,0.0,0.5804
exp_nle_70000_800_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,800,1e-05,4,2,3,affine,128,marginal,0.0,0.6022
